latitude,longitude,start_date,end_date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
7.66363,3.37102,01/11/2023,07/11/2023,,640.7304734,0.040236686,3.475680473,25.43899408,1.505088757,21.67816568,50.16497041,1.848816568
7.77696,3.50542,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.97403,3.68092,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.78809,3.52591,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.91192,3.49596,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.73916,3.50813,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.77269,3.64202,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.95239,3.61477,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.92141,3.63123,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
8.02587,3.65912,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.75834,3.64816,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
8.00367,3.71162,01/11/2023,07/11/2023,,801.3235503,0.066923077,5.16739645,22.90940828,1.201242604,29.55076923,61.15390533,2.154970414
7.89026,3.5413,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.74932,3.31295,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.8072,3.71412,01/11/2023,07/11/2023,,895.7315385,0.219467456,6.985621302,22.82704142,1.688994083,32.25591716,61.77863905,2.904319527
7.77669,3.37183,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.89871,3.61023,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.80738,3.7129,01/11/2023,07/11/2023,,895.7315385,0.219467456,6.985621302,22.82704142,1.688994083,32.25591716,61.77863905,2.904319527
7.87723,3.40678,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.76614,3.38615,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.76603,3.38624,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.99224,3.69048,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.87901,3.68632,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.88959,3.70365,01/11/2023,07/11/2023,,895.7315385,0.219467456,6.985621302,22.82704142,1.688994083,32.25591716,61.77863905,2.904319527
7.69135,3.33597,01/11/2023,07/11/2023,,640.7304734,0.040236686,3.475680473,25.43899408,1.505088757,21.67816568,50.16497041,1.848816568
7.87732,3.41134,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.9818,3.49253,01/11/2023,07/11/2023,,574.2498817,0.112721893,2.825443787,22.12295858,0.735266272,19.2347929,42.26633136,1.373550296
7.88016,3.4843,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.66362,3.33814,01/11/2023,07/11/2023,,640.7304734,0.040236686,3.475680473,25.43899408,1.505088757,21.67816568,50.16497041,1.848816568
7.88173,3.53303,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.81874,3.46495,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.94114,3.47456,01/11/2023,07/11/2023,,574.2498817,0.112721893,2.825443787,22.12295858,0.735266272,19.2347929,42.26633136,1.373550296
7.96784,3.55953,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.91901,3.63047,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.96644,3.67747,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
8.01124,3.7111,01/11/2023,07/11/2023,,801.3235503,0.066923077,5.16739645,22.90940828,1.201242604,29.55076923,61.15390533,2.154970414
7.74595,3.65965,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.77056,3.50793,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.8605,3.70855,01/11/2023,07/11/2023,,895.7315385,0.219467456,6.985621302,22.82704142,1.688994083,32.25591716,61.77863905,2.904319527
7.74901,3.66283,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
8.0341,3.52653,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.75147,3.50111,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.89958,3.4653,01/11/2023,07/11/2023,,574.2498817,0.112721893,2.825443787,22.12295858,0.735266272,19.2347929,42.26633136,1.373550296
8.00631,3.68033,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.9058,3.65667,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.91841,3.52217,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
8.03281,3.70481,01/11/2023,07/11/2023,,801.3235503,0.066923077,5.16739645,22.90940828,1.201242604,29.55076923,61.15390533,2.154970414
7.80555,3.54399,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
8.02592,3.64494,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.87735,3.41137,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.94647,3.54655,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.98214,3.5594,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
8.02363,3.55288,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.94453,3.55391,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.97907,3.55792,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.87329,3.59291,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.75457,3.67119,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.86172,3.65745,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.98949,3.69787,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.72744,3.43709,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.84132,3.64646,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.96297,3.67673,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.88252,3.55718,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
8.00686,3.68027,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.76766,3.50744,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
8.03189,3.59262,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
8.02444,3.54851,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.91759,3.44488,01/11/2023,07/11/2023,,574.2498817,0.112721893,2.825443787,22.12295858,0.735266272,19.2347929,42.26633136,1.373550296
7.92061,3.53871,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
